FlowID,App,AppCategory,Category,Broad Category,Domain,Third_party,App_HOST,HOST1,HOST2,HOST3,HOST4,HOST5
99,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
100,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
101,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
102,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
103,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
104,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
105,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
106,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
107,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
108,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
109,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
110,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
111,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
112,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
113,KAYAK,Travel & Local,Post,Behavior,aa.com,Yes,KAYAK_aa.com,mobile,aa,com,,
114,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
115,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
116,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
117,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
118,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
119,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
120,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
121,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
122,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
123,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
124,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
125,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
126,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
127,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
128,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
129,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
130,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
131,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
132,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
133,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
134,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
135,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
136,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
137,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
